-DOCSTART- -X- O
Adversaries -X- I-O B-PER
may -X- I-O O
use -X- I-O O
[Valid -X- I-O O
Accounts](T1078) -X- I-O O
to -X- I-O O
interact -X- I-O O
with -X- I-O O
a -X- I-O O
remote -X- I-O O
network -X- I-O O
share -X- I-O O
using -X- I-O O
Server -X- I-O B-NETWORK
Message -X- I-O I-NETWORK
Block -X- I-O I-NETWORK
(SMB). -X- I-O I-NETWORK
The -X- I-O O
adversary -X- I-O O
may -X- I-O O
then -X- I-O O
perform -X- I-O O
actions -X- I-O O
as -X- I-O O
the -X- I-O O
logged-on -X- I-O O
user. -X- I-O O
SMB -X- I-O B-NETWORK
is -X- I-O O
a -X- I-O O
file, -X- I-O O
printer, -X- I-O O
and -X- I-O O
serial -X- I-O O
port -X- I-O O
sharing -X- I-O O
protocol -X- I-O O
for -X- I-O O
Windows -X- I-O B-DEVICES
machines -X- I-O O
on -X- I-O O
the -X- I-O O
same -X- I-O O
network -X- I-O O
or -X- I-O O
domain. -X- I-O O
Adversaries -X- I-O O
may -X- I-O O
use -X- I-O O
SMB -X- I-O B-NETWORK
to -X- I-O O
interact -X- I-O O
with -X- I-O O
file -X- I-O O
shares, -X- I-O O
allowing -X- I-O O
them -X- I-O O
to -X- I-O O
move -X- I-O O
laterally -X- I-O O
throughout -X- I-O O
a -X- I-O O
network. -X- I-O O
Linux -X- I-O B-DEVICES
and -X- I-O O
macOS -X- I-O B-DEVICES
implementations -X- I-O O
of -X- I-O O
SMB -X- I-O B-NETWORK
typically -X- I-O O
use -X- I-O O
Samba. -X- I-O B-NETWORK
Windows -X- I-O B-DEVICES
systems -X- I-O O
have -X- I-O O
hidden -X- I-O O
network -X- I-O O
shares -X- I-O O
that -X- I-O O
are -X- I-O O
accessible -X- I-O O
only -X- I-O O
to -X- I-O O
administrators -X- I-O O
and -X- I-O O
provide -X- I-O O
the -X- I-O O
ability -X- I-O O
for -X- I-O O
remote -X- I-O O
file -X- I-O O
copy -X- I-O O
and -X- I-O O
other -X- I-O O
administrative -X- I-O O
functions. -X- I-O O
Example -X- I-O O
network -X- I-O O
shares -X- I-O O
include -X- I-O O
`C$`, -X- I-O B-NETWORK
`ADMIN$`, -X- I-O B-NETWORK
and -X- I-O O
`IPC$`. -X- I-O B-NETWORK
Adversaries -X- I-O O
may -X- I-O O
use -X- I-O O
this -X- I-O O
technique -X- I-O O
in -X- I-O O
conjunction -X- I-O O
with -X- I-O O
administrator-level -X- I-O O
[Valid -X- I-O O
Accounts](T1078) -X- I-O O
to -X- I-O O
remotely -X- I-O O
access -X- I-O O
a -X- I-O O
networked -X- I-O O
system -X- I-O O
over -X- I-O O
SMB,(Citation: -X- I-O O
Wikipedia -X- I-O O
Server -X- I-O O
Message -X- I-O O
Block) -X- I-O O
to -X- I-O O
interact -X- I-O O
with -X- I-O O
systems -X- I-O O
using -X- I-O O
remote -X- I-O O
procedure -X- I-O O
calls -X- I-O O
(RPCs),(Citation: -X- I-O O
TechNet -X- I-O O
RPC) -X- I-O O
transfer -X- I-O O
files, -X- I-O O
and -X- I-O O
run -X- I-O O
transferred -X- I-O O
binaries -X- I-O O
through -X- I-O O
remote -X- I-O O
Execution. -X- I-O O
Example -X- I-O O
execution -X- I-O O
techniques -X- I-O O
that -X- I-O O
rely -X- I-O O
on -X- I-O O
authenticated -X- I-O O
sessions -X- I-O O
over -X- I-O O
SMB/RPC -X- I-O B-NETWORK
are -X- I-O O
[Scheduled -X- I-O O
Task/Job](T1053), -X- I-O O
[Service -X- I-O O
Execution](T1569.002), -X- I-O O
and -X- I-O O
[Windows -X- I-O O
Management -X- I-O O
Instrumentation](T1047). -X- I-O O
Adversaries -X- I-O O
can -X- I-O O
also -X- I-O O
use -X- I-O O
NTLM -X- I-O O
hashes -X- I-O O
to -X- I-O O
access -X- I-O O
administrator -X- I-O O
shares -X- I-O O
on -X- I-O O
systems -X- I-O O
with -X- I-O O
[Pass -X- I-O B-EXPLOITS
the -X- I-O I-EXPLOITS
Hash](T1550.002) -X- I-O I-EXPLOITS
and -X- I-O O
certain -X- I-O O
configuration -X- I-O O
and -X- I-O O
patch -X- I-O O
levels.(Citation: -X- I-O O
Microsoft -X- I-O O
Admin -X- I-O O
Shares) -X- I-O O

Adversaries -X- I-O B-PER
may -X- I-O O
use -X- I-O O
[Valid -X- I-O O
Accounts](T1078) -X- I-O O
to -X- I-O O
log -X- I-O O
into -X- I-O O
a -X- I-O O
computer -X- I-O O
using -X- I-O O
the -X- I-O B-NETWORK
Remote -X- I-O I-NETWORK
Desktop -X- I-O I-NETWORK
Protocol -X- I-O I-NETWORK
(RDP). -X- I-O I-NETWORK
The -X- I-O O
adversary -X- I-O O
may -X- I-O O
then -X- I-O O
perform -X- I-O O
actions -X- I-O O
as -X- I-O O
the -X- I-O O
logged-on -X- I-O O
user. -X- I-O O
Remote -X- I-O B-NETWORK
desktop -X- I-O I-NETWORK
is -X- I-O O
a -X- I-O O
common -X- I-O O
feature -X- I-O O
in -X- I-O O
operating -X- I-O O
systems. -X- I-O O
It -X- I-O O
allows -X- I-O O
a -X- I-O O
user -X- I-O O
to -X- I-O O
log -X- I-O O
into -X- I-O O
an -X- I-O O
interactive -X- I-O O
session -X- I-O O
with -X- I-O O
a -X- I-O O
system -X- I-O O
desktop -X- I-O O
graphical -X- I-O O
user -X- I-O O
interface -X- I-O O
on -X- I-O O
a -X- I-O O
remote -X- I-O O
system. -X- I-O O
Microsoft -X- I-O B-VENDOR
refers -X- I-O O
to -X- I-O O
its -X- I-O O
implementation -X- I-O O
of -X- I-O O
the -X- I-O B-NETWORK
Remote -X- I-O I-NETWORK
Desktop -X- I-O I-NETWORK
Protocol -X- I-O I-NETWORK
(RDP) -X- I-O I-NETWORK
as -X- I-O O
Remote -X- I-O B-NETWORK
Desktop -X- I-O I-NETWORK
Services -X- I-O I-NETWORK
(RDS).(Citation: -X- I-O I-NETWORK
TechNet -X- I-O O
Remote -X- I-O O
Desktop -X- I-O O
Services) -X- I-O O
Adversaries -X- I-O B-PER
may -X- I-O O
connect -X- I-O O
to -X- I-O O
a -X- I-O O
remote -X- I-O O
system -X- I-O O
over -X- I-O O
RDP/RDS -X- I-O B-NETWORK
to -X- I-O O
expand -X- I-O O
access -X- I-O O
if -X- I-O O
the -X- I-O O
service -X- I-O O
is -X- I-O O
enabled -X- I-O O
and -X- I-O O
allows -X- I-O O
access -X- I-O O
to -X- I-O O
accounts -X- I-O O
with -X- I-O O
known -X- I-O O
credentials. -X- I-O O
Adversaries -X- I-O B-PER
will -X- I-O O
likely -X- I-O O
use -X- I-O O
Credential -X- I-O O
Access -X- I-O O
techniques -X- I-O O
to -X- I-O O
acquire -X- I-O O
credentials -X- I-O O
to -X- I-O O
use -X- I-O O
with -X- I-O O
RDP. -X- I-O B-NETWORK
Adversaries -X- I-O O
may -X- I-O O
also -X- I-O O
use -X- I-O O
RDP -X- I-O B-NETWORK
in -X- I-O B-APT
conjunction -X- I-O I-APT
with -X- I-O I-APT
the -X- I-O I-APT
[Accessibility -X- I-O I-APT
Features](T1546.008) -X- I-O I-APT
technique -X- I-O O
for -X- I-O O
Persistence.(Citation: -X- I-O O
Alperovitch -X- I-O O
Malware) -X- I-O O

Adversaries -X- I-O B-PER
may -X- I-O O
use -X- I-O O
[Valid -X- I-O O
Accounts](T1078) -X- I-O O
to -X- I-O O
log -X- I-O O
into -X- I-O O
a -X- I-O O
service -X- I-O O
specifically -X- I-O O
designed -X- I-O O
to -X- I-O O
accept -X- I-O O
remote -X- I-O B-NETWORK
connections, -X- I-O I-NETWORK
such -X- I-O O
as -X- I-O O
telnet, -X- I-O B-NETWORK
SSH, -X- I-O B-NETWORK
and -X- I-O O
VNC. -X- I-O B-NETWORK
The -X- I-O O
adversary -X- I-O B-PER
may -X- I-O O
then -X- I-O O
perform -X- I-O O
actions -X- I-O O
as -X- I-O O
the -X- I-O O
logged-on -X- I-O O
