-DOCSTART- -X- O 
Tired -X- I-O O
of -X- I-O O
obfuscating -X- I-O O
strings -X- I-O O
and -X- I-O O
recompiling -X- I-O O
to -X- I-O O
break -X- I-O O
signatures -X- I-O O
? -X- I-O O
Wish -X- I-O O
you -X- I-O O
could -X- I-O O
keep -X- I-O O
PE -X- I-O O
- -X- I-O O
sieve -X- I-O O
from -X- I-O O
ripping -X- I-O O
your -X- I-O O
malware -X- I-O O
out -X- I-O O
of -X- I-O O
memory -X- I-O O
? -X- I-O O
Interested -X- I-O O
in -X- I-O O
learning -X- I-O O
how -X- I-O O
to -X- I-O O
do -X- I-O O
all -X- I-O O
of -X- I-O O
this -X- I-O O
with -X- I-O O
your -X- I-O O
existing -X- I-O O
COTS -X- I-O O
or -X- I-O O
private -X- I-O O
toolsets -X- I-O O
? -X- I-O O
For -X- I-O O
years -X- I-O O

reverse -X- I-O O
engineers -X- I-O O
and -X- I-O O
endpoint -X- I-O O
security -X- I-O O
software -X- I-O O
have -X- I-O O
used -X- I-O O
memory -X- I-O O
scanning -X- I-O O
to -X- I-O O
locate -X- I-O O
shellcode -X- I-O O
and -X- I-O O
malware -X- I-O O
implants -X- I-O O
in -X- I-O O
Windows -X- I-O U-DEVICES
memory -X- I-O O
. -X- I-O O
These -X- I-O O
tools -X- I-O O
rely -X- I-O O
on -X- I-O O
IOCs -X- I-O O
such -X- I-O O
as -X- I-O O
signatures -X- I-O O
and -X- I-O O
unbacked -X- I-O O
executable -X- I-O O
memory -X- I-O O
. -X- I-O O
This -X- I-O O
talk -X- I-O O
will -X- I-O O
dive -X- I-O O
into -X- I-O O
the -X- I-O O
various -X- I-O O
methods -X- I-O O
in -X- I-O O
which -X- I-O O
memory -X- I-O O
scanners -X- I-O O
search -X- I-O O
for -X- I-O O
these -X- I-O O
indicators -X- I-O O
and -X- I-O O
demonstrate -X- I-O O
a -X- I-O O
stable -X- I-O O
evasion -X- I-O O
technique -X- I-O O
for -X- I-O O
each -X- I-O O
method -X- I-O O
. -X- I-O O
A -X- I-O O
new -X- I-O O
position -X- I-O O
- -X- I-O O
independent -X- I-O O
reflective -X- I-O O
DLL -X- I-O O
loader -X- I-O O

AceLdr -X- I-O O

will -X- I-O O
be -X- I-O O
released -X- I-O O
alongside -X- I-O O
the -X- I-O O
presentation -X- I-O O
and -X- I-O O
features -X- I-O O
the -X- I-O O
demonstrated -X- I-O O
techniques -X- I-O O
to -X- I-O O
evade -X- I-O O
all -X- I-O O
of -X- I-O O
the -X- I-O O
previously -X- I-O O
described -X- I-O O
memory -X- I-O O
scanners -X- I-O O
. -X- I-O O
The -X- I-O O
presenter -X- I-O U-PER
and -X- I-O O
their -X- I-O O
colleagues -X- I-O U-PER
have -X- I-O O
used -X- I-O O
AceLdr -X- I-O O
on -X- I-O O
red -X- I-O O
team -X- I-O O
operations -X- I-O O
against -X- I-O O
mature -X- I-O O
security -X- I-O O
programs -X- I-O O
to -X- I-O O
avoid -X- I-O O
detection -X- I-O O
successfully -X- I-O O
. -X- I-O O
This -X- I-O O
talk -X- I-O O
will -X- I-O O
focus -X- I-O O
on -X- I-O O
the -X- I-O O
internals -X- I-O O
of -X- I-O O
PE -X- I-O O
- -X- I-O O
sieve -X- I-O O

MalMemDetect -X- I-O U-PATH

Moneta -X- I-O B-COMMANDS
 -X- I-O I-COMMANDS
Volatility -X- I-O I-COMMANDS
malfind -X- I-O L-COMMANDS

and -X- I-O O
YARA -X- I-O U-COMMANDS
to -X- I-O O
understand -X- I-O O
how -X- I-O O
they -X- I-O O
find -X- I-O O
malware -X- I-O O
in -X- I-O O
memory -X- I-O O
and -X- I-O O
how -X- I-O O
malware -X- I-O O
can -X- I-O O
be -X- I-O O
modified -X- I-O O
to -X- I-O O
fly -X- I-O O
under -X- I-O O
their -X- I-O O
radar -X- I-O O
consistently -X- I-O O
. -X- I-O O
The -X- I-O O
